"","lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper"
"1","IQ","=~","reading_n_total_Norm",1,1,"",1,0,NA,NA,1,1
"2","IQ","=~","sums_n_total_Norm",1,1,".p2.",1.14913614363738,0.06255692072753,18.3694486600852,0,1.0265268320277,1.27174545524707
"3","IQ","=~","digit_span_n_correct_Norm",1,1,".p3.",0.706790904733523,0.0588399447744444,12.0120932717207,0,0.591466732123286,0.82211507734376
"4","IQ","=~","dot_matrix_n_correct_Norm",1,1,".p4.",0.822692719829088,0.0626180756131235,13.1382625827081,0,0.69996354684616,0.945421892812016
"5","IQ","=~","cancellation_marked_intertime_Norm",1,1,".p5.",-0.793769378180076,0.0637513581042315,-12.4510191121307,0,-0.918719744029885,-0.668819012330267
"6","IQ","=~","ans_IRT_ScoreNorm",1,1,".p6.",0.785907933382892,0.061938176260526,12.6885869237929,0,0.664511338644167,0.907304528121616
"7","IQ","=~","cattell_IRT_ScoreNorm",1,1,".p7.",0.880021129380334,0.065742531978141,13.3858721728718,0,0.751168134450705,1.00887412430996
"8","reading_n_total_Norm","~~","reading_n_total_Norm",1,1,"",0.435729945157869,0.0337952429563537,12.8932331014933,0,0.369492486114635,0.501967404201103
"9","sums_n_total_Norm","~~","sums_n_total_Norm",1,1,"",0.323549060669945,0.0319463290116927,10.1278948373543,0,0.26093540636876,0.386162714971129
"10","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",1,1,"",0.645114990607574,0.0431252646267491,14.9590963949107,0,0.560591025115386,0.729638956099761
"11","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",1,1,"",0.617237358279321,0.0428888101028435,14.391571060126,0,0.533176835137971,0.701297881420672
"12","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",1,1,"",0.716528718475935,0.0485427029091078,14.7607915409568,0,0.621386769061856,0.811670667890014
"13","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",1,1,"",0.612163942304713,0.0425959843180593,14.3714003116762,0,0.528677347155284,0.695650537454142
"14","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",1,1,"",0.610782879135225,0.0443430109801224,13.77405064823,0,0.523872174648121,0.697693583622329
"15","IQ","~~","IQ",1,1,"",0.54115731334003,0.0570111661089855,9.49212847717456,0,0.429417481049788,0.652897145630272
"16","reading_n_total_Norm","~1","",1,1,"",0.00389891700015307,0.0433848942950068,0.0898680765162496,0.928392049722868,-0.0811339132911375,0.0889317472914436
"17","sums_n_total_Norm","~1","",1,1,"",-0.0149676702005754,0.044724694190818,-0.334662326291507,0.737879823502516,-0.102626460034146,0.0726911196329957
"18","digit_span_n_correct_Norm","~1","",1,1,"",-0.0768734615012863,0.0420294879804864,-1.82903635506998,0.0673941622057694,-0.159249744231699,0.00550282122912615
"19","dot_matrix_n_correct_Norm","~1","",1,1,"",-0.0258060330084453,0.043561082806108,-0.592410274173139,0.5535758880539,-0.111184186435984,0.0595721204190935
"20","cancellation_marked_intertime_Norm","~1","",1,1,"",-0.0295762085019773,0.0452992099214528,-0.652907822305541,0.513815705739828,-0.118361028476144,0.0592086114721896
"21","ans_IRT_ScoreNorm","~1","",1,1,"",-0.0700821526225609,0.043151068067916,-1.62411165610681,0.104351980733239,-0.154656691930113,0.0144923866849908
"22","cattell_IRT_ScoreNorm","~1","",1,1,"",-0.0516703969891458,0.0452218025729225,-1.142599234204,0.253205023650701,-0.140303501348055,0.0369627073697631
"23","IQ","~1","",1,1,"",0,0,NA,NA,0,0
"24","IQ","=~","reading_n_total_Norm",2,2,"",1,0,NA,NA,1,1
"25","IQ","=~","sums_n_total_Norm",2,2,".p2.",1.14913614363738,0.06255692072753,18.3694486600852,0,1.0265268320277,1.27174545524707
"26","IQ","=~","digit_span_n_correct_Norm",2,2,".p3.",0.706790904733523,0.0588399447744444,12.0120932717207,0,0.591466732123287,0.82211507734376
"27","IQ","=~","dot_matrix_n_correct_Norm",2,2,".p4.",0.822692719829088,0.0626180756131235,13.1382625827081,0,0.699963546846161,0.945421892812016
"28","IQ","=~","cancellation_marked_intertime_Norm",2,2,".p5.",-0.793769378180076,0.0637513581042315,-12.4510191121307,0,-0.918719744029886,-0.668819012330267
"29","IQ","=~","ans_IRT_ScoreNorm",2,2,".p6.",0.785907933382892,0.0619381762605259,12.6885869237929,0,0.664511338644167,0.907304528121616
"30","IQ","=~","cattell_IRT_ScoreNorm",2,2,".p7.",0.880021129380334,0.0657425319781411,13.3858721728718,0,0.751168134450705,1.00887412430996
"31","reading_n_total_Norm","~~","reading_n_total_Norm",2,2,"",0.707686777479175,0.118045358363325,5.99504112055831,2.034339585677e-09,0.476322126544934,0.939051428413415
"32","sums_n_total_Norm","~~","sums_n_total_Norm",2,2,"",0.323920890715506,0.0724736889993442,4.46949638120998,7.8403985603881e-06,0.181875070450035,0.465966710980978
"33","digit_span_n_correct_Norm","~~","digit_span_n_correct_Norm",2,2,"",0.750827921028146,0.11392503896543,6.59054346477756,4.38220570941894e-11,0.52753894771858,0.974116894337712
"34","dot_matrix_n_correct_Norm","~~","dot_matrix_n_correct_Norm",2,2,"",0.564503779414474,0.0932175249336221,6.0557688033065,1.39748590477495e-09,0.38180078781661,0.747206771012338
"35","cancellation_marked_intertime_Norm","~~","cancellation_marked_intertime_Norm",2,2,"",0.994507706227681,0.150104642798423,6.62542935173043,3.46240813797749e-11,0.700308012430523,1.28870740002484
"36","ans_IRT_ScoreNorm","~~","ans_IRT_ScoreNorm",2,2,"",0.528905281438927,0.0983524185660404,5.3776540440008,7.54626405807812e-08,0.336138083257079,0.721672479620775
"37","cattell_IRT_ScoreNorm","~~","cattell_IRT_ScoreNorm",2,2,"",0.901360468606972,0.163574410128282,5.51040023864422,3.5801867914742e-08,0.580760515963155,1.22196042125079
"38","IQ","~~","IQ",2,2,"",0.32695547188935,0.0714575874196208,4.57551792183198,4.75043295744548e-06,0.186901174124771,0.46700976965393
"39","reading_n_total_Norm","~1","",2,2,"",0.127558911415626,0.102229799040809,1.24776643026272,0.212116605661376,-0.0728078128511272,0.32792563568238
"40","sums_n_total_Norm","~1","",2,2,"",-0.0547325771146212,0.087367222685779,-0.626465800698162,0.531009461826857,-0.225969187008039,0.116504032778796
"41","digit_span_n_correct_Norm","~1","",2,2,"",0.205690864215722,0.0960933696363609,2.14053128737293,0.0323118550989383,0.0173513205753601,0.394030407856084
"42","dot_matrix_n_correct_Norm","~1","",2,2,"",0.0859243923888269,0.0918602284733245,0.935381871097552,0.349591536277787,-0.0941183470305099,0.265967131808164
"43","cancellation_marked_intertime_Norm","~1","",2,2,"",-0.0411263834625143,0.110119883406824,-0.373469188217157,0.70879927336549,-0.256957388921638,0.17470462199661
"44","ans_IRT_ScoreNorm","~1","",2,2,"",-0.054204299280041,0.0989143516421818,-0.54799226179152,0.583697216218939,-0.248072866052848,0.139664267492766
"45","cattell_IRT_ScoreNorm","~1","",2,2,"",0.404342945563019,0.124771460026282,3.24066854293321,0.00119249753641459,0.159795377613028,0.648890513513009
"46","IQ","~1","",2,2,"",0,0,NA,NA,0,0
